07-23 15:43:08: Training starting...
07-23 15:43:09: New best reward -8.1 (-100.0%) at episode 0, saving model...
07-23 15:43:10: New best reward -7.5 (-7.4%) at episode 2, saving model...
07-23 15:43:11: New best reward -6.9 (-8.0%) at episode 9, saving model...
07-23 15:43:11: New best reward -6.3 (-8.7%) at episode 10, saving model...
07-23 15:43:12: New best reward -5.1 (-19.0%) at episode 21, saving model...
07-23 15:43:18: New best reward -4.5 (-11.8%) at episode 67, saving model...
07-23 15:43:18: New best reward -2.7 (-40.0%) at episode 69, saving model...
07-23 15:43:20: New best reward -2.1 (-22.2%) at episode 80, saving model...
07-23 15:43:40: New best reward -0.9 (-57.1%) at episode 191, saving model...
